base_mechanism,m,projection,z_score,verdict
round,1,LeadingDigit,-1.2439374840499628,0
round,1,TerminalDigit,680430.7246999698,+
round,1,CentsEntropy,-262332.7934751408,+
round,1,DecimalResidue,4056.004013032402,+
round,1,VocabGini,814.6372314530255,+
round,1,ThresholdDensity,nan,?
round,1,TemporalConcentration,nan,?
round,1,cp_spectrum,3242.7816666971066,+
round,1,L_profile,-824.0044535706643,+
round,1,TailMass,785.8523858699052,+
round,1,CBAD_a,175.30898546385285,+
round,1,CBAD_c,17.419346945054745,+
round,1,CBAD_R2,14.607926049226556,+
round,2,LeadingDigit,81.98416072502937,+
round,2,TerminalDigit,825071.147649273,+
round,2,CentsEntropy,-186810.84613534436,+
round,2,DecimalResidue,4538.111327976863,+
round,2,VocabGini,749.0806229877849,+
round,2,ThresholdDensity,nan,?
round,2,TemporalConcentration,nan,?
round,2,cp_spectrum,2607.568275472409,+
round,2,L_profile,1211.106643203677,+
round,2,TailMass,1007.8038062411964,+
round,2,CBAD_a,156.27749232614806,+
round,2,CBAD_c,25.376980807822928,+
round,2,CBAD_R2,8.864068233171189,+
round,5,LeadingDigit,122.47727961838973,+
round,5,TerminalDigit,1014885.8408982604,+
round,5,CentsEntropy,-196681.10453658362,+
round,5,DecimalResidue,3564.261822482774,+
round,5,VocabGini,971.7679164330498,+
round,5,ThresholdDensity,nan,?
round,5,TemporalConcentration,nan,?
round,5,cp_spectrum,3164.971328316801,+
round,5,L_profile,834.4066192601229,+
round,5,TailMass,968.1063983782333,+
round,5,CBAD_a,44.538512780464,+
round,5,CBAD_c,10.941661193276545,+
round,5,CBAD_R2,8.455438608727343,+
round,10,LeadingDigit,49.84921279923142,+
round,10,TerminalDigit,665448.0919805988,+
round,10,CentsEntropy,-365460.0732716894,+
round,10,DecimalResidue,4313.116305962143,+
round,10,VocabGini,789.4009515464423,+
round,10,ThresholdDensity,nan,?
round,10,TemporalConcentration,nan,?
round,10,cp_spectrum,4293.801714276777,+
round,10,L_profile,956.9407058515909,+
round,10,TailMass,945.685101421255,+
round,10,CBAD_a,49.73173132662595,+
round,10,CBAD_c,11.05722641803481,+
round,10,CBAD_R2,16.821794004873592,+
round,20,LeadingDigit,29.361354151173284,+
round,20,TerminalDigit,974945.4449599565,+
round,20,CentsEntropy,-149891.61329866486,+
round,20,DecimalResidue,3449.5937670792664,+
round,20,VocabGini,902.0620038944685,+
round,20,ThresholdDensity,nan,?
round,20,TemporalConcentration,nan,?
round,20,cp_spectrum,3258.160752050489,+
round,20,L_profile,788.4721620354346,+
round,20,TailMass,870.3981219538218,+
round,20,CBAD_a,51.47287003922002,+
round,20,CBAD_c,11.80973188835118,+
round,20,CBAD_R2,5.212275328534339,+
round,50,LeadingDigit,37.679159886797294,+
round,50,TerminalDigit,714653.2429062105,+
round,50,CentsEntropy,-242173.13263985075,+
round,50,DecimalResidue,3368.7571813566674,+
round,50,VocabGini,1682.8647448847626,+
round,50,ThresholdDensity,nan,?
round,50,TemporalConcentration,nan,?
round,50,cp_spectrum,2899.105630693746,+
round,50,L_profile,635.7425240457997,+
round,50,TailMass,659.3717667344579,+
round,50,CBAD_a,67.98421066623585,+
round,50,CBAD_c,11.49273337240108,+
round,50,CBAD_R2,6.74128972638235,+
divisibility,1,LeadingDigit,-0.9002140415254583,0
divisibility,1,TerminalDigit,-0.21825447329757505,0
divisibility,1,CentsEntropy,-1.9398816508063117,?
divisibility,1,DecimalResidue,1.957797004266969,?
divisibility,1,VocabGini,622.2868698018019,+
divisibility,1,ThresholdDensity,nan,?
divisibility,1,TemporalConcentration,nan,?
divisibility,1,cp_spectrum,1612.6250408055587,+
divisibility,1,L_profile,608.2103942526066,+
divisibility,1,TailMass,615.492888324079,+
divisibility,1,CBAD_a,-1.0883393185243933,0
divisibility,1,CBAD_c,0.4869797937480315,0
divisibility,1,CBAD_R2,-0.4177339580913673,0
divisibility,2,LeadingDigit,80.3101874452022,+
divisibility,2,TerminalDigit,1.3486254827193234,0
divisibility,2,CentsEntropy,-0.6382924942682181,0
divisibility,2,DecimalResidue,1.5201363568174457,?
divisibility,2,VocabGini,567.7638072010676,+
divisibility,2,ThresholdDensity,nan,?
divisibility,2,TemporalConcentration,nan,?
divisibility,2,cp_spectrum,1739.134198757947,+
divisibility,2,L_profile,450.3106203604454,+
divisibility,2,TailMass,430.1755822922408,+
divisibility,2,CBAD_a,1.1463683037804928,0
divisibility,2,CBAD_c,-2.047463252019965,?
divisibility,2,CBAD_R2,-1.3774054799340305,0
divisibility,5,LeadingDigit,126.01895566903394,+
divisibility,5,TerminalDigit,-0.6388037523021358,0
divisibility,5,CentsEntropy,1.0651294081852338,0
divisibility,5,DecimalResidue,-1.2997211539731395,0
divisibility,5,VocabGini,350.9870339867171,+
divisibility,5,ThresholdDensity,nan,?
divisibility,5,TemporalConcentration,nan,?
divisibility,5,cp_spectrum,1638.8991713455584,+
divisibility,5,L_profile,318.1298364283908,+
divisibility,5,TailMass,339.23266407267795,+
divisibility,5,CBAD_a,1.0002385537307243,0
divisibility,5,CBAD_c,3.327783921495024,+
divisibility,5,CBAD_R2,3.0069828293437606,?
divisibility,10,LeadingDigit,51.27314361371951,+
divisibility,10,TerminalDigit,1.244697338658142,0
divisibility,10,CentsEntropy,-0.6214204696693786,0
divisibility,10,DecimalResidue,0.9041768571890046,0
divisibility,10,VocabGini,355.56963978276787,+
divisibility,10,ThresholdDensity,nan,?
divisibility,10,TemporalConcentration,nan,?
divisibility,10,cp_spectrum,1886.3559826993867,+
divisibility,10,L_profile,418.0569607222642,+
divisibility,10,TailMass,447.650842025907,+
divisibility,10,CBAD_a,-0.3382588751607713,0
divisibility,10,CBAD_c,4.670141663934521,+
divisibility,10,CBAD_R2,6.392211448191671,+
divisibility,20,LeadingDigit,30.761163676373993,+
divisibility,20,TerminalDigit,-1.3576334664758256,0
divisibility,20,CentsEntropy,1.716559251815886,?
divisibility,20,DecimalResidue,-2.115681861331306,?
divisibility,20,VocabGini,455.6594654874207,+
divisibility,20,ThresholdDensity,nan,?
divisibility,20,TemporalConcentration,nan,?
divisibility,20,cp_spectrum,1632.228964734895,+
divisibility,20,L_profile,425.3156187340823,+
divisibility,20,TailMass,486.054659335956,+
divisibility,20,CBAD_a,1.0016434551792102,0
divisibility,20,CBAD_c,5.514915872462332,+
divisibility,20,CBAD_R2,4.170933182061652,+
divisibility,50,LeadingDigit,31.799895371219705,+
divisibility,50,TerminalDigit,-0.5037707974340586,0
divisibility,50,CentsEntropy,-0.5995888130888571,0
divisibility,50,DecimalResidue,-0.7453837498828728,0
divisibility,50,VocabGini,197.67780225821573,+
divisibility,50,ThresholdDensity,nan,?
divisibility,50,TemporalConcentration,nan,?
divisibility,50,cp_spectrum,1535.181867089714,+
divisibility,50,L_profile,378.8729811957151,+
divisibility,50,TailMass,422.18174121317145,+
divisibility,50,CBAD_a,0.9762748760246241,0
divisibility,50,CBAD_c,0.7030241898553347,0
divisibility,50,CBAD_R2,2.3080696628839474,?
