projection,z_score,effect_size_d,verdict,verdict_material,selected_submetric,passes_bonferroni
LeadingDigit,-0.9137268058581796,-0.28894578656623315,0,0,leading_digit_mad,False
TerminalDigit,0.9095776847461069,0.28763371926602915,0,0,terminal_digit_chisq,False
CentsEntropy,0.08882237276607491,0.028088100512130693,0,0,cents_entropy,False
DecimalResidue,1.5378245602403693,0.4863028252106382,?,?,mod5_tv,False
VocabGini,1.1266023609763984,0.3562629478008617,0,0,vocab_gini,False
ThresholdDensity,nan,nan,?,?,n/a,False
TemporalConcentration,nan,nan,?,?,n/a,False
cp_spectrum,-1.9994893068835518,-0.6322940366903411,?,?,c2,False
L_profile,1.0534716859625095,0.3331369978139163,0,0,L1,False
TailMass,-0.8881142371866452,-0.2808463811932809,0,0,tail_mass,False
CBAD_a,-0.9934890767329163,-0.314168831297381,0,0,cbad_a,False
CBAD_c,-0.30063675326202477,-0.0950696888666054,0,0,cbad_c,False
CBAD_R2,-0.18769187176553054,-0.059353381307932544,0,0,cbad_r2,False
cp_spectrum_composite,-1.7959273678364707,-0.567922099459427,?,?,c2_composite,False
L_profile_composite,-0.5428344722016757,-0.17165933246126522,0,0,L4_composite,False
TailMass_composite,-0.579787018385919,-0.18334475358974248,0,0,tail_mass_composite,False
prime_fraction,1.633366659022976,0.516515889669222,?,?,prime_fraction,False
