mechanism,projection,digit_stratum,z_score,verdict
null,LeadingDigit,4,0.17881544823312656,0
null,TerminalDigit,4,-0.5750112176902937,0
null,CentsEntropy,4,-0.3187332033620481,0
null,DecimalResidue,4,-1.1190357011271763,0
null,VocabGini,4,-0.7113490261868518,0
null,ThresholdDensity,4,nan,?
null,TemporalConcentration,4,nan,?
null,cp_spectrum,4,0.9624244513062483,0
null,L_profile,4,1.1754236098429318,0
null,TailMass,4,0.1787595397906119,0
null,LeadingDigit,5,1.234151933593647,0
null,TerminalDigit,5,-1.0676816298945306,0
null,CentsEntropy,5,1.9477544898885226,?
null,DecimalResidue,5,-1.9283145991711381,?
null,VocabGini,5,-1.2318842682353985,0
null,ThresholdDensity,5,nan,?
null,TemporalConcentration,5,nan,?
null,cp_spectrum,5,-2.0978952165369757,?
null,L_profile,5,0.8159580288579189,0
null,TailMass,5,0.3468731963602554,0
null,LeadingDigit,6,0.17568441424867598,0
null,TerminalDigit,6,-0.0784798619479855,0
null,CentsEntropy,6,1.0168985104804604,0
null,DecimalResidue,6,1.1262986655255993,0
null,VocabGini,6,0.3022509667060006,0
null,ThresholdDensity,6,nan,?
null,TemporalConcentration,6,nan,?
null,cp_spectrum,6,-1.8654958122899878,?
null,L_profile,6,1.0579773385166804,0
null,TailMass,6,0.2849239515304873,0
repeated,LeadingDigit,4,0.9755063590755914,0
repeated,TerminalDigit,4,0.3614315073523773,0
repeated,CentsEntropy,4,-0.743752659219967,0
repeated,DecimalResidue,4,0.9785636152911489,0
repeated,VocabGini,4,-0.6075772970561198,0
repeated,ThresholdDensity,4,nan,?
repeated,TemporalConcentration,4,nan,?
repeated,cp_spectrum,4,0.4239458557788908,0
repeated,L_profile,4,-1.2687834530355553,0
repeated,TailMass,4,1.293069906896673,0
repeated,LeadingDigit,5,0.6640962928845962,0
repeated,TerminalDigit,5,3.879915062025747,+
repeated,CentsEntropy,5,-21.562631056080086,+
repeated,DecimalResidue,5,98.90250125563117,+
repeated,VocabGini,5,5.9261529962568495,+
repeated,ThresholdDensity,5,nan,?
repeated,TemporalConcentration,5,nan,?
repeated,cp_spectrum,5,-1.2956722316917744,0
repeated,L_profile,5,-0.9829614700778397,0
repeated,TailMass,5,-0.0809880847079183,0
repeated,LeadingDigit,6,1.6742336731566334,?
repeated,TerminalDigit,6,4.092904413464593,+
repeated,CentsEntropy,6,-56.55526673508402,+
repeated,DecimalResidue,6,145.03972706757972,+
repeated,VocabGini,6,17.4916707983084,+
repeated,ThresholdDensity,6,nan,?
repeated,TemporalConcentration,6,nan,?
repeated,cp_spectrum,6,-1.2822156284646986,0
repeated,L_profile,6,1.0028230624451038,0
repeated,TailMass,6,0.056202023241131036,0
round,LeadingDigit,4,-0.5677303957087799,0
round,TerminalDigit,4,97.02992739051697,+
round,CentsEntropy,4,-1189.6228826145853,+
round,DecimalResidue,4,260.46123440564844,+
round,VocabGini,4,214.6993406490997,+
round,ThresholdDensity,4,nan,?
round,TemporalConcentration,4,nan,?
round,cp_spectrum,4,260.317799705936,+
round,L_profile,4,-40.99413364661234,+
round,TailMass,4,26.874209448666253,+
round,LeadingDigit,5,1.2955094388940134,0
round,TerminalDigit,5,286.0429022102364,+
round,CentsEntropy,5,-10635.394784077187,+
round,DecimalResidue,5,771.4757349187321,+
round,VocabGini,5,242.12273444476529,+
round,ThresholdDensity,5,nan,?
round,TemporalConcentration,5,nan,?
round,cp_spectrum,5,1034.104105684449,+
round,L_profile,5,-162.80308306907514,+
round,TailMass,5,149.72687474606843,+
round,LeadingDigit,6,0.19166361041031013,0
round,TerminalDigit,6,2470.8661070900503,+
round,CentsEntropy,6,-193297.43911430947,+
round,DecimalResidue,6,3640.105970784204,+
round,VocabGini,6,543.2425506773574,+
round,ThresholdDensity,6,nan,?
round,TemporalConcentration,6,nan,?
round,cp_spectrum,6,1965.6245321360611,+
round,L_profile,6,-952.0819703020417,+
round,TailMass,6,989.52807378038,+
quarter,LeadingDigit,4,0.27316276875216844,0
quarter,TerminalDigit,4,91.1628941444191,+
quarter,CentsEntropy,4,-984.2405592715749,+
quarter,DecimalResidue,4,410.71650149688867,+
quarter,VocabGini,4,54.30321120563186,+
quarter,ThresholdDensity,4,nan,?
quarter,TemporalConcentration,4,nan,?
quarter,cp_spectrum,4,288.651588032302,+
quarter,L_profile,4,72.85325960641696,+
quarter,TailMass,4,18.222524590064726,+
quarter,LeadingDigit,5,1.3003075710361642,0
quarter,TerminalDigit,5,275.2198911086874,+
quarter,CentsEntropy,5,-4299.9356614959615,+
quarter,DecimalResidue,5,446.81999061343606,+
quarter,VocabGini,5,168.83548048048578,+
quarter,ThresholdDensity,5,nan,?
quarter,TemporalConcentration,5,nan,?
quarter,cp_spectrum,5,1368.2577494808843,+
quarter,L_profile,5,159.6770613157685,+
quarter,TailMass,5,73.07798337103411,+
quarter,LeadingDigit,6,0.2041177625306499,0
quarter,TerminalDigit,6,2535.015497480366,+
quarter,CentsEntropy,6,-59246.98204670387,+
quarter,DecimalResidue,6,1996.1386126703262,+
quarter,VocabGini,6,539.9275816147149,+
quarter,ThresholdDensity,6,nan,?
quarter,TemporalConcentration,6,nan,?
quarter,cp_spectrum,6,3087.8878713468516,+
quarter,L_profile,6,-769.1276596257691,+
quarter,TailMass,6,495.484422138549,+
psychological,LeadingDigit,4,-0.20889569107825182,0
psychological,TerminalDigit,4,97.16942023655164,+
psychological,CentsEntropy,4,-511.10850645868504,+
psychological,DecimalResidue,4,389.62308453031386,+
psychological,VocabGini,4,75.16516936073734,+
psychological,ThresholdDensity,4,nan,?
psychological,TemporalConcentration,4,nan,?
psychological,cp_spectrum,4,-68.07172776594791,+
psychological,L_profile,4,-8.679723105280386,+
psychological,TailMass,4,-5.30195043161699,+
psychological,LeadingDigit,5,1.0250599696609144,0
psychological,TerminalDigit,5,239.8971645516872,+
psychological,CentsEntropy,5,-1389.0108812247756,+
psychological,DecimalResidue,5,645.3780795797176,+
psychological,VocabGini,5,186.74195868846957,+
psychological,ThresholdDensity,5,nan,?
psychological,TemporalConcentration,5,nan,?
psychological,cp_spectrum,5,-132.03535194359702,+
psychological,L_profile,5,-31.477736075155388,+
psychological,TailMass,5,-26.02676929424152,+
psychological,LeadingDigit,6,0.15014450314937308,0
psychological,TerminalDigit,6,1537.627740554677,+
psychological,CentsEntropy,6,-6518.730462796144,+
psychological,DecimalResidue,6,3601.526037512934,+
psychological,VocabGini,6,866.775744454284,+
psychological,ThresholdDensity,6,nan,?
psychological,TemporalConcentration,6,nan,?
psychological,cp_spectrum,6,-328.51016939041045,+
psychological,L_profile,6,102.63572305134707,+
psychological,TailMass,6,-106.35703334816463,+
threshold,LeadingDigit,4,0.0,0
threshold,TerminalDigit,4,0.3334179215397294,0
threshold,CentsEntropy,4,-0.47922951668224295,0
threshold,DecimalResidue,4,1.053776805486967,0
threshold,VocabGini,4,0.4168284853262137,0
threshold,ThresholdDensity,4,nan,?
threshold,TemporalConcentration,4,nan,?
threshold,cp_spectrum,4,-3.3639434869185445,?
threshold,L_profile,4,2.236358634235067,?
threshold,TailMass,4,-1.381952600124659,0
threshold,LeadingDigit,5,0.0,0
threshold,TerminalDigit,5,-0.352877974999361,0
threshold,CentsEntropy,5,-1.346325478436049,0
threshold,DecimalResidue,5,1.6716708463099015,?
threshold,VocabGini,5,2.03016318415463,?
threshold,ThresholdDensity,5,0.0,0
threshold,TemporalConcentration,5,nan,?
threshold,cp_spectrum,5,3.531482456044226,+
threshold,L_profile,5,-0.6869145175862356,0
threshold,TailMass,5,0.3934544715145521,0
fiscal,LeadingDigit,4,0.17881544823312656,0
fiscal,TerminalDigit,4,-0.5750112176902937,0
fiscal,CentsEntropy,4,-0.3187332033620481,0
fiscal,DecimalResidue,4,-1.1190357011271763,0
fiscal,VocabGini,4,-0.7113490261868518,0
fiscal,ThresholdDensity,4,nan,?
fiscal,TemporalConcentration,4,nan,?
fiscal,cp_spectrum,4,0.9624244513062483,0
fiscal,L_profile,4,1.1754236098429318,0
fiscal,TailMass,4,0.1787595397906119,0
fiscal,LeadingDigit,5,1.234151933593647,0
fiscal,TerminalDigit,5,-1.0676816298945306,0
