threshold,baseline_type,projection,mean_mechanism,mean_null,z_score,sign_consistency,effect_size_d,verdict,verdict_material
10000,magnitude_matched,LeadingDigit,0.14531255765318332,0.14531255765318332,0.0,nan,0.0,0,0
10000,magnitude_matched,TerminalDigit,9.166430000000002,8.886370000000001,0.19613252550532362,0.6,0.06202255038378898,0,0
10000,magnitude_matched,CentsEntropy,6.643122671847111,6.64314734811516,-0.7660365287118797,0.45,-0.24224202016185106,0,0
10000,magnitude_matched,DecimalResidue,0.006403999999999998,0.006190999999999998,0.6190980776487569,0.55,0.1957760020401853,0,0
10000,magnitude_matched,VocabGini,0.23931746076961513,0.23891282058970517,1.826512186938718,0.7,0.5775938684781599,?,?
10000,magnitude_matched,ThresholdDensity,2.325487618926352,2.3270942984714966,-0.38026334761388425,0.6,-0.12024982891402289,0,0
10000,magnitude_matched,TemporalConcentration,nan,nan,nan,nan,nan,?,?
10000,magnitude_matched,cp_spectrum,0.11924537945077511,0.1190504638077595,1.5148781872758044,0.5,0.47904654494986465,?,?
10000,magnitude_matched,L_profile,0.013855522612778868,0.013823517024850981,0.8482180386589387,0.65,0.2682300954603001,0,0
10000,magnitude_matched,TailMass,0.09252891101359972,0.09251242295530257,0.18352645627764205,0.5,0.05803616127366563,0,0
10000,magnitude_matched,CBAD_a,0.3426428524644983,0.3445084600191315,-1.1235739727921863,0.6,-0.3553052873707365,0,0
10000,magnitude_matched,CBAD_c,0.2731246835050084,0.2830289163005411,-0.9438510612091824,0.6,-0.2984719125388015,0,0
10000,magnitude_matched,CBAD_R2,0.9948373328200061,0.9941237940664113,0.7088218719671062,0.6,0.2241491570760311,0,0
10000,parent_support,LeadingDigit,0.14531255765318332,0.0597856647395472,1437.4913797483844,1.0,454.57468768629354,+,+
10000,parent_support,TerminalDigit,9.166430000000002,7.597289999999999,1.1698635945687743,0.75,0.36994335105491133,0,0
10000,parent_support,CentsEntropy,6.643122671847111,6.643174548909336,-1.604141618297394,0.5,-0.50727412032882,?,?
10000,parent_support,DecimalResidue,0.012712000000000001,0.012327000000000001,1.1271390756072286,0.5,0.3564326718695576,0,0
10000,parent_support,VocabGini,0.23931746076961513,0.04583308428285952,958.3281206628494,1.0,303.0499607083276,+,+
10000,parent_support,ThresholdDensity,2.325487618926352,1.0299969336967818,22.71064600816706,1.0,7.181736851961887,+,+
10000,parent_support,TemporalConcentration,nan,nan,nan,nan,nan,?,?
10000,parent_support,cp_spectrum,0.11924537945077511,0.08612348301214864,292.13235230833743,1.0,92.3803611517094,+,+
10000,parent_support,L_profile,0.013855522612778868,0.02420213476847947,-255.86126084314174,1.0,-80.91043492667816,+,+
10000,parent_support,TailMass,0.09252891101359972,0.11537427140364354,-238.1817376104677,1.0,-75.31967879056687,+,+
10000,parent_support,CBAD_a,0.3426428524644983,8.739638665668571e-07,263.1364148493517,1.0,83.21104062549037,+,+
10000,parent_support,CBAD_c,0.2731246835050084,0.013158087305027327,32.36605113094174,1.0,10.235044043924459,+,+
10000,parent_support,CBAD_R2,0.9948373328200061,0.900509368673854,20.65659965312143,1.0,6.532190361810779,+,+
10000,threshold_aware,LeadingDigit,0.14531255765318332,0.1452374465420722,14.73455195804425,1.0,4.659474448951359,+,+
10000,threshold_aware,TerminalDigit,9.166430000000002,7.418730000000001,1.3401902594999644,0.5,0.4238053717992,0,0
10000,threshold_aware,CentsEntropy,6.643122671847111,6.643159694903209,-1.2616684600413073,0.6,-0.39897459857276674,0,0
10000,threshold_aware,DecimalResidue,0.012712000000000001,0.012362000000000001,1.1001549259570076,0.6,0.34789953450780425,0,0
