feature,metric,value,null_mean,null_std,z_score,verdict
CDS_total_per_transcript,leading_digit_mad,0.019754,0.059868,0.001985,-20.206,+
CDS_total_per_transcript,terminal_digit_chisq,58.39783,6.89783,2.956492,17.419,+
CDS_total_per_transcript,cents_entropy,6.423053,6.610793,0.004246,-44.212,+
CDS_total_per_transcript,mod5_tv,0.024774,0.014986,0.005766,1.698,?
CDS_total_per_transcript,mod10_tv,0.05877,0.022505,0.00448,8.095,+
CDS_total_per_transcript,mod25_tv,0.118101,0.041479,0.005762,13.297,+
CDS_total_per_transcript,mod100_tv,0.225154,0.085076,0.00624,22.45,+
CDS_total_per_transcript,vocab_gini,0.479756,0.170867,0.004125,74.88,+
CDS_total_per_transcript,c2,0.10505,0.096693,0.002421,3.452,+
CDS_total_per_transcript,c3,0.216906,0.076618,0.002786,50.357,+
CDS_total_per_transcript,c5,0.057817,0.056712,0.002663,0.415,0
CDS_total_per_transcript,c7,0.046137,0.044396,0.0033,0.527,0
CDS_total_per_transcript,c10,0.162866,0.153405,0.003724,2.541,?
CDS_total_per_transcript,c5sq,0.013297,0.018883,0.002049,-2.726,?
CDS_total_per_transcript,L1,0.600118,0.691593,0.004107,-22.273,+
CDS_total_per_transcript,L2,0.268562,0.235845,0.002971,11.011,+
CDS_total_per_transcript,L3,0.113224,0.064817,0.001776,27.258,+
CDS_total_per_transcript,L4,0.01733,0.0076,0.000512,19.018,+
CDS_total_per_transcript,tail_mass,0.13132,0.072562,0.00198,29.674,+
CDS_total_per_transcript,prime_fraction,0.017631,0.135104,0.005433,-21.62,+
CDS_total_per_transcript,mod3_tv,0.590265,0.011649,0.005716,101.222,+
CDS_segment,leading_digit_mad,0.05641,0.059331,0.000696,-4.196,+
CDS_segment,terminal_digit_chisq,324.369119,9.468692,5.800056,54.293,+
CDS_segment,cents_entropy,6.562396,6.627667,0.00141,-46.302,+
CDS_segment,mod5_tv,0.012648,0.005378,0.002265,3.209,+
CDS_segment,mod10_tv,0.051748,0.00812,0.002241,19.467,+
CDS_segment,mod25_tv,0.066601,0.026976,0.002633,15.049,+
CDS_segment,mod100_tv,0.138518,0.048013,0.001916,47.24,+
CDS_segment,vocab_gini,0.631738,0.434526,0.00113,174.485,+
CDS_segment,c2,0.138232,0.140089,0.00134,-1.386,0
CDS_segment,c3,0.165719,0.110977,0.00143,38.288,+
CDS_segment,c5,0.083023,0.079813,0.001309,2.453,?
CDS_segment,c7,0.071098,0.065022,0.001134,5.359,+
CDS_segment,c10,0.221256,0.219902,0.001422,0.952,0
CDS_segment,c5sq,0.021462,0.024185,0.000792,-3.436,+
CDS_segment,L1,0.725,0.731011,0.001234,-4.873,+
CDS_segment,L2,0.239322,0.227502,0.001017,11.628,+
CDS_segment,L3,0.035314,0.039598,0.000429,-9.977,+
CDS_segment,L4,0.000364,0.001888,0.000104,-14.7,+
CDS_segment,tail_mass,0.035678,0.041487,0.000446,-13.015,+
CDS_segment,prime_fraction,0.172018,0.188193,0.001936,-8.355,+
CDS_segment,mod3_tv,0.112055,0.004595,0.002688,39.976,+
intron,leading_digit_mad,0.007909,0.061728,0.000455,-118.4,+
intron,terminal_digit_chisq,184.810556,8.278433,4.053951,43.546,+
intron,cents_entropy,6.603433,6.641692,0.0003,-127.669,+
intron,mod5_tv,0.01946,0.003814,0.00189,8.278,+
intron,mod10_tv,0.030477,0.006089,0.001628,14.976,+
intron,mod25_tv,0.046879,0.010123,0.001183,31.058,+
intron,mod100_tv,0.094026,0.022158,0.001583,45.398,+
intron,vocab_gini,0.656533,0.448883,0.000696,298.204,+
intron,c2,0.091365,0.089775,0.000715,2.224,?
intron,c3,0.069289,0.071633,0.00051,-4.592,+
intron,c5,0.060556,0.052017,0.000597,14.306,+
intron,c7,0.046832,0.042359,0.000501,8.933,+
intron,c10,0.151921,0.141792,0.000964,10.512,+
intron,c5sq,0.019895,0.017336,0.000376,6.803,+
intron,L1,0.688211,0.686579,0.000837,1.949,?
intron,L2,0.234177,0.234588,0.000576,-0.714,0
intron,L3,0.067577,0.068639,0.000439,-2.416,?
intron,L4,0.009875,0.009777,0.000155,0.634,0
intron,tail_mass,0.077612,0.078833,0.000521,-2.343,?
intron,prime_fraction,0.138613,0.12796,0.001633,6.525,+
intron,mod3_tv,0.023665,0.002662,0.001257,16.714,+
UTR,leading_digit_mad,0.020854,0.061058,0.001446,-27.808,+
UTR,terminal_digit_chisq,139.813612,11.080661,6.116214,21.048,+
UTR,cents_entropy,6.554449,6.629669,0.00199,-37.794,+
UTR,mod5_tv,0.044504,0.009366,0.002883,12.187,+
UTR,mod10_tv,0.052738,0.015633,0.004418,8.398,+
UTR,mod25_tv,0.073514,0.026705,0.00473,9.896,+
UTR,mod100_tv,0.124214,0.052039,0.003944,18.3,+
UTR,vocab_gini,0.664561,0.575183,0.001654,54.037,+
UTR,c2,0.162139,0.144119,0.002276,7.917,+
UTR,c3,0.125357,0.116139,0.002939,3.137,+
UTR,c5,0.07414,0.079933,0.001277,-4.537,+
UTR,c7,0.082933,0.066148,0.002532,6.629,+
UTR,c10,0.236279,0.224052,0.002442,5.007,+
UTR,c5sq,0.024002,0.023033,0.001199,0.808,0
UTR,L1,0.738348,0.735368,0.002464,1.21,0
UTR,L2,0.22591,0.221943,0.001893,2.096,?
UTR,L3,0.034438,0.040156,0.0009,-6.353,+
UTR,L4,0.001292,0.0025,0.000189,-6.395,+
UTR,tail_mass,0.035742,0.042689,0.000916,-7.583,+
UTR,prime_fraction,0.183308,0.191633,0.00444,-1.875,?
UTR,mod3_tv,0.003454,0.006859,0.004047,-0.841,0
