method,feature_space,mechanism,cluster_purity,recall
kmeans,raw_magnitude_hist,divisibility,0.101,0.65
kmeans,raw_magnitude_hist,fiscal,0.109,0.7
kmeans,raw_magnitude_hist,fixed_factor,1.0,1.0
kmeans,raw_magnitude_hist,null,0.109,0.7
kmeans,raw_magnitude_hist,product,1.0,1.0
kmeans,raw_magnitude_hist,psychological,0.379,0.55
kmeans,raw_magnitude_hist,quarter,0.109,0.7
kmeans,raw_magnitude_hist,repeated,0.109,0.7
kmeans,raw_magnitude_hist,round,0.155,1.0
kmeans,raw_magnitude_hist,sum_of_divisibility,0.5,1.0
kmeans,raw_magnitude_hist,sum_of_rounded,0.5,1.0
kmeans,raw_magnitude_hist,temporal_concat,0.132,0.85
kmeans,raw_magnitude_hist,temporal_concat_arith,0.109,0.7
kmeans,raw_magnitude_hist,threshold,1.0,1.0
dbscan,raw_magnitude_hist,divisibility,0.077,0.5
dbscan,raw_magnitude_hist,fiscal,0.077,0.5
dbscan,raw_magnitude_hist,fixed_factor,1.0,1.0
dbscan,raw_magnitude_hist,null,0.077,0.5
dbscan,raw_magnitude_hist,product,0.154,1.0
dbscan,raw_magnitude_hist,psychological,0.085,0.55
dbscan,raw_magnitude_hist,quarter,0.092,0.6
dbscan,raw_magnitude_hist,repeated,0.154,1.0
dbscan,raw_magnitude_hist,round,0.046,0.3
dbscan,raw_magnitude_hist,sum_of_divisibility,0.5,1.0
dbscan,raw_magnitude_hist,sum_of_rounded,0.5,1.0
dbscan,raw_magnitude_hist,temporal_concat,0.154,1.0
dbscan,raw_magnitude_hist,temporal_concat_arith,0.085,0.55
dbscan,raw_magnitude_hist,threshold,1.0,1.0
kmeans,projection_features,divisibility,1.0,1.0
kmeans,projection_features,fiscal,1.0,1.0
kmeans,projection_features,fixed_factor,1.0,1.0
kmeans,projection_features,null,1.0,1.0
kmeans,projection_features,product,1.0,1.0
kmeans,projection_features,psychological,1.0,1.0
kmeans,projection_features,quarter,1.0,1.0
kmeans,projection_features,repeated,1.0,1.0
kmeans,projection_features,round,1.0,1.0
kmeans,projection_features,sum_of_divisibility,1.0,1.0
kmeans,projection_features,sum_of_rounded,1.0,1.0
kmeans,projection_features,temporal_concat,1.0,1.0
kmeans,projection_features,temporal_concat_arith,1.0,1.0
kmeans,projection_features,threshold,1.0,1.0
dbscan,projection_features,divisibility,1.0,0.9
dbscan,projection_features,fiscal,0.14,0.8
dbscan,projection_features,fixed_factor,1.0,1.0
dbscan,projection_features,null,1.0,0.7
dbscan,projection_features,product,1.0,0.85
dbscan,projection_features,psychological,0.114,0.65
dbscan,projection_features,quarter,0.088,0.5
dbscan,projection_features,repeated,0.175,1.0
dbscan,projection_features,round,1.0,0.65
dbscan,projection_features,sum_of_divisibility,1.0,1.0
dbscan,projection_features,sum_of_rounded,0.053,0.3
dbscan,projection_features,temporal_concat,0.175,1.0
dbscan,projection_features,temporal_concat_arith,1.0,0.7
dbscan,projection_features,threshold,0.088,0.5
